time,input_base_ax,input_base_ax_g,input_base_vx,base_vx,base_ax,base_ax_g,base_xdisp,top_vx,top_ax,top_ax_g,top_xdisp,stress_point_vx,stress_point_ax,stress_point_ax_g,stress_point_xdisp,stress_point_strain,stress_point_shear_stress
0.47,0.0936314871899,0.00954775455328,0.00894934008889,0.00896693397312,0.102359670184,0.0104377815242,0.000150506799783,0,0,0,0,0,0,0,0,0,0
0.48,0.0692131407233,0.00705777617466,0.00976798843408,0.00978034722619,0.0813413253071,0.00829450682008,0.00024424320578,0,0,0,0,0,0,0,0,0,0
0.49,0.0378409634525,0.00385870439472,0.0103074975967,0.0103132500858,0.0532902859612,0.00543409685888,0.00034471119234,0,0,0,0,0,0,0,0,0,0
0.5,8.83668138663e-14,9.01090727886e-15,0.0105005196412,0.0104984106284,0.0185160542569,0.00188811207261,0.00044876949591,0,0,0,0,0,0,0,0,0,0
0.51,-0.0434414278052,-0.00442979282478,0.010286465429,0.0102754328011,-0.0222977827244,-0.00227374105576,0.000552638713058,0,0,0,0,0,0,0,0,0,0
0.52,-0.0912279728714,-0.00930266430141,0.00961536767511,0.00959461928188,-0.0680813519247,-0.00694236583591,0.000651988973473,0,0,0,0,0,0,0,0,0,0
0.53,-0.141732854004,-0.0144527289139,0.00845168581078,0.00842077220543,-0.117384707645,-0.0119699089542,0.00074206593091,0,0,0,0,0,0,0,0,0,0
0.54,-0.192993981243,-0.0196799091681,0.00677785272481,0.00673673163823,-0.16840405672,-0.0171724346969,0.000817853450128,0,0,0,0,0,0,0,0,0,0
0.55,-0.242770856461,-0.0247557378372,0.00459735620766,0.00454644462686,-0.219028701136,-0.0223347117656,0.000874269331453,0,0,0,0,0,0,0,0,0,0
0.56,-0.288621442712,-0.0294311964547,0.00193715070215,0.00187736064081,-0.266908398605,-0.0272170821438,0.000906388357792,0,0,0,0,0,0,0,0,0,0
0.57,-0.327997101982,-0.0334463962701,-0.0011507915129,-0.00121803702943,-0.309539767024,-0.0315642718995,0.000909684975849,0,0,0,0,0,0,0,0,0,0
0.58,-0.35835261389,-0.0365417970347,-0.00458895611909,-0.00466172968214,-0.344369265272,-0.0351158923049,0.000880286142291,0,0,0,0,0,0,0,0,0,0
0.59,-0.377267263891,-0.0384705545616,-0.00827492089649,-0.00835082193422,-0.368909225208,-0.0376182718062,0.000815223384209,0,0,0,0,0,0,0,0,0,0
0.6,-0.382572085552,-0.039011495827,-0.0120832348375,-0.0121594463833,-0.380862444912,-0.0388371609991,0.000712672042621,0,0,0,0,0,0,0,0,0,0
0.61,-0.372477612096,-0.0379821460026,-0.015868575945,-0.0159419467532,-0.378250036983,-0.0385707695271,0.000572165076938,0,0,0,0,0,0,0,0,0,0
0.62,-0.345695987012,-0.0352511802718,-0.0194701622927,-0.019537312855,-0.35953661018,-0.0366625310559,0.000394768778898,0,0,0,0,0,0,0,0,0,0
0.63,-0.30155104347,-0.0307496488067,-0.0227173280489,-0.0227747777862,-0.323746493119,-0.0330129547928,0.000183208325692,0,0,0,0,0,0,0,0,0,0
0.64,-0.240070018322,-0.0244803289932,-0.0254361123476,-0.0254804239987,-0.270564621257,-0.0275899130954,-5.80676832322e-05,0,0,0,0,0,0,0,0,0,0
0.65,-0.162050936632,-0.0165245967412,-0.0274566472011,-0.0274845832695,-0.200415927075,-0.0204367370177,-0.000322892719573,0,0,0,0,0,0,0,0,0,0
0.66,-0.0691003905924,-0.00704627886102,-0.028621074253,-0.0286297593597,-0.11451760902,-0.0116775462589,-0.000603464432719,0,0,0,0,0,0,0,0,0,0
0.67,0.0363625694314,0.00370795015947,-0.0287916721883,-0.0287787543882,-0.0148995028517,-0.00151932646232,-0.000890507001458,0,0,0,0,0,0,0,0,0,0
0.68,0.151139441512,0.0154119338931,-0.0278588400021,-0.0278226435865,0.0956110801641,0.00974961685837,-0.00117351399133,0,0,0,0,0,0,0,0,0,0
0.69,0.271323678018,0.027667315344,-0.0257485586328,-0.0256882207275,0.213442285906,0.0217650559473,-0.0014410683129,0,0,0,0,0,0,0,0,0,0
0.7,0.392410304962,0.040014715011,-0.0224289468007,-0.0223445301918,0.334369053565,0.0340961545038,-0.0016812320675,0,0,0,0,0,0,0,0,0,0
0.71,0.509441771563,0.0519486034031,-0.0179155376899,-0.0178081128003,0.453641739155,0.04625858363,-0.00188199528246,0,0,0,0,0,0,0,0,0,0
0.72,0.617186217186,0.0629354792091,-0.0122749320971,-0.0121466218875,0.566149091274,0.0577311407335,-0.0020317689559,0,0,0,0,0,0,0,0,0,0
0.73,0.710342565731,0.0724347831044,-0.00562653074822,-0.00548051351958,0.666610836797,0.0679753878028,-0.00211990463293,0,0,0,0,0,0,0,0,0,0
0.74,0.783765219779,0.0799218101777,0.00185788731894,0.00201742072576,0.749793424534,0.0764576511381,-0.0021372200969,0,0,0,0,0,0,0,0,0,0
0.75,0.83269971389,0.0849117398796,0.00995689389538,0.0101248302182,0.810740949242,0.0826725690467,-0.00207650884218,0,0,0,0,0,0,0,0,0,0
0.76,0.853019578086,0.0869837893762,0.0184045096957,0.0185749504128,0.84501201946,0.0861672456405,-0.00193300993903,0,0,0,0,0,0,0,0,0,0
0.77,0.841453928978,0.0858044213853,0.0268976314254,0.0270640745675,0.84891241547,0.0865649753453,-0.00170481481413,0,0,0,0,0,0,0,0,0,0
0.78,0.795795003782,0.0811485067563,0.0351056412179,0.0352612032833,0.819712871584,0.0835874505141,-0.00139318842487,0,0,0,0,0,0,0,0,0,0
0.79,0.715075021515,0.0729173592934,0.042681944535,0.0428196158637,0.755841258037,0.0770743585258,-0.00100278432914,0,0,0,0,0,0,0,0,0,0
0.8,0.599702416223,0.0611526276784,0.0492770794576,0.0493900044814,0.657038861767,0.0669993179901,-0.000541736227413,0,0,0,0,0,0,0,0,0,0
0.81,0.451548637951,0.0460451467067,0.0545529461978,0.0546347182975,0.524471381615,0.0534811971075,-2.16126135189e-05,0,0,0,0,0,0,0,0,0,0
0.82,0.273978334687,0.0279380149885,0.0581976254253,0.0582425847869,0.360786648935,0.0367899995345,0.000542773901903,0,0,0,0,0,0,0,0,0,0
0.83,0.071817766296,0.00732337406719,0.0599401920822,0.0599437140267,0.170112923989,0.0173466906628,0.00113370539597,0,0,0,0,0,0,0,0,0,0
0.84,-0.148741308219,-0.015167392353,0.0595648916226,0.0595236524669,-0.0420061559893,-0.00428343583072,0.00173104222844,0,0,0,0,0,0,0,0,0,0
0.85,-0.380302373424,-0.0387800496015,0.0569240311719,0.0568362387923,-0.268741367452,-0.0274039929489,0.00231284168473,0,0,0,0,0,0,0,0,0,0
0.86,-0.614486816883,-0.0626602169837,0.0519489510838,0.0518145280442,-0.502171074811,-0.0512071986674,0.00285609551892,0,0,0,0,0,0,0,0,0,0
0.87,-0.842212930874,-0.0858818180392,0.0446584838211,0.0444791921797,-0.73353358645,-0.0747996090867,0.00333756412004,0,0,0,0,0,0,0,0,0,0
0.88,-1.05402290071,-0.10748042407,0.0351643768285,0.0349438755426,-0.95353166371,-0.0972331697073,0.00373467945865,0,0,0,0,0,0,0,0,0,0
0.89,-1.24044684988,-0.126490376416,0.02367325266,0.0234170808104,-1.15267947322,-0.117540594721,0.00402648424041,0,0,0,0,0,0,0,0,0,0
0.9,-1.39239076976,-0.141984344273,0.0104848003794,0.0102002821669,-1.32167986435,-0.134773838604,0.0041945710553,0,0,0,0,0,0,0,0,0,0
0.91,-1.50153336684,-0.153113791849,-0.00401396673691,-0.0043178962077,-1.45181783746,-0.148044218715,0.0042239829851,0,0,0,0,0,0,0,0,0,0
0.92,-1.56071561506,-0.159148701652,-0.0193583958974,-0.0196714417506,-1.53535455429,-0.156562593168,0.0041040362953,0,0,0,0,0,0,0,0,0,0
0.93,-1.56430618781,-0.159514838177,-0.0350196649898,-0.0353304949595,-1.56590532089,-0.15967790437,0.00382902661175,0,0,0,0,0,0,0,0,0,0
0.94,-1.50852602214,-0.153826844248,-0.0504217130593,-0.0507183421344,-1.53878471749,-0.156912372471,0.00339878242629,0,0,0,0,0,0,0,0,0,0
0.95,-1.39171606863,-0.141915543905,-0.0649611419303,-0.0652313671558,-1.45130250214,-0.147991669137,0.00281903387983,0,0,0,0,0,0,0,0,0,0
0.96,-1.21453380526,-0.123847981243,-0.0780294475459,-0.0782613180908,-1.3029950935,-0.132868522227,0.0021015704536,0,0,0,0,0,0,0,0,0,0
