time,base_acceleration_mps2,base_acceleration_g,integrated_base_velocity,integrated_base_displacement
2.515000000000000124e+00,-4.215052045296238781e+00,-4.298156909134351888e-01,7.641974632056701688e-01,1.415687515723456844e-02
2.520000000000000018e+00,-5.575309139677295356e+00,-5.685233122092963054e-01,7.397215602432368753e-01,1.791667271585675736e-02
2.524999999999999911e+00,-6.892482635220459564e+00,-7.028376290803138859e-01,7.085520808059931896e-01,2.153735681847975675e-02
2.530000000000000249e+00,-8.154574006396298813e+00,-8.315351324250686016e-01,6.709344392019487291e-01,2.498607311849984636e-02
2.535000000000000142e+00,-9.350021742901681421e+00,-9.534368762932990959e-01,6.271729498287047511e-01,2.823134159107641011e-02
2.540000000000000036e+00,-1.046780761371811508e+01,-1.067419313804216063e+00,5.776283764371563656e-01,3.124334490674099754e-02
2.544999999999999929e+00,-1.149755851639816662e+01,-1.172424682883366653e+00,5.227149611118668826e-01,3.399420325061349585e-02
2.550000000000000266e+00,-1.242964296744993469e+01,-1.267470845543578584e+00,4.628969574022425704e-01,3.645823304689893574e-02
2.555000000000000160e+00,-1.325526133419871222e+01,-1.351660488974187224e+00,3.986846966481223387e-01,3.861218718202480416e-02
2.560000000000000053e+00,-1.396652896142539291e+01,-1.424189602099126040e+00,3.306302209090635214e-01,4.043547447591772787e-02
2.564999999999999947e+00,-1.455655140695488825e+01,-1.484355147471857261e+00,2.593225199881143417e-01,4.191035632816064033e-02
2.569999999999999840e+00,-1.501949106868249295e+01,-1.531561855341272871e+00,1.853824137990224830e-01,4.302211866262845713e-02
2.575000000000000178e+00,-1.535062456067530157e+01,-1.565328074385779367e+00,1.094571247256228702e-01,4.375921750894012224e-02
2.580000000000000071e+00,-1.554639027732241452e+01,-1.585290621906809694e+00,3.221458763063023145e-02,4.411339678983074858e-02
2.584999999999999964e+00,-1.560442567130462876e+01,-1.591208585123832231e+00,-4.566245224093570809e-02,4.407977712830498523e-02
2.589999999999999858e+00,-1.552359386264424046e+01,-1.582966034542299560e+00,-1.234825010758062169e-01,4.365691474501313951e-02
2.595000000000000195e+00,-1.530399929146100213e+01,-1.560573620090551117e+00,-2.005514839610745281e-01,4.284682978242088103e-02
2.600000000000000089e+00,-1.494699222544240591e+01,-1.524169030753866672e+00,-2.761789627533314251e-01,4.165500366563489043e-02
2.604999999999999982e+00,-1.445516203355001572e+01,-1.474016308683395060e+00,-3.496843484008109182e-01,4.009034538774956802e-02
2.609999999999999876e+00,-1.383231923921734108e+01,-1.410504019131644471e+00,-4.204030515827278380e-01,3.816512688779076512e-02
2.615000000000000213e+00,-1.308346646832251459e+01,-1.334142287970154550e+00,-4.876925158515820202e-01,3.589488796920483477e-02
2.620000000000000107e+00,-1.221475850861186885e+01,-1.245558728884162303e+00,-5.509380782939166110e-01,3.329831148384114481e-02
2.625000000000000000e+00,-1.123345179707315644e+01,-1.145493292518154238e+00,-6.095586040581278953e-01,3.039706977796109710e-02
2.629999999999999893e+00,-1.014784374910225395e+01,-1.034792079772629325e+00,-6.630118429235652977e-01,2.721564366050693157e-02
2.635000000000000231e+00,-8.967202437260215930e+00,-9.144001710329435761e-01,-7.107994583894746699e-01,2.378111540722410017e-02
2.640000000000000124e+00,-7.701687217121591544e+00,-7.853535322583748979e-01,-7.524716825254282870e-01,2.012293755493691980e-02
2.645000000000000018e+00,-6.362260982322674785e+00,-6.487700674871311746e-01,-7.876315530240382001e-01,1.627267946606333546e-02
2.649999999999999911e+00,-4.960594809647381531e+00,-5.058398953411594734e-01,-8.159386925039627814e-01,1.226375385224341870e-02
2.655000000000000249e+00,-3.508965827086247380e+00,-3.578149344665352283e-01,-8.371125940957983014e-01,8.131125635743736632e-03
2.660000000000000142e+00,-2.020149202598701343e+00,-2.059978894524329418e-01,-8.509353816700103712e-01,3.911005696329304497e-03
2.665000000000000036e+00,-5.073052081700579752e-01,-5.173073456991510860e-02,-8.572540176969321024e-01,-3.594678020879607527e-04
2.669999999999999929e+00,1.016137637853464115e+00,1.036172023936272057e-01,-8.559819366227235937e-01,-4.642557687887008920e-03
2.675000000000000266e+00,2.536602307734192152e+00,2.586614499073783824e-01,-8.471000867587538119e-01,-8.900262746340989808e-03
2.680000000000000160e+00,4.040484808099461311e+00,4.120147867110033890e-01,-8.306573689691700846e-01,-1.309465638566071136e-02
2.685000000000000053e+00,5.514276437528139674e+00,5.622997086189616134e-01,-8.067704658551015928e-01,-1.718822597272130423e-02
2.689999999999999947e+00,6.944685654429381572e+00,7.081608555856874210e-01,-7.756230606252084714e-01,-2.114420978892199432e-02
2.694999999999999840e+00,8.318758451115385810e+00,8.482772864449518169e-01,-7.374644503613473345e-01,-2.492692856638830182e-02
2.700000000000000178e+00,9.623996139441702624e+00,9.813744897025694636e-01,-6.926075638849515936e-01,-2.850210860200429186e-02
2.705000000000000071e+00,1.084846947285995533e+01,1.106236020747141557e+00,-6.414263998541985812e-01,-3.183719351135209930e-02
2.709999999999999964e+00,1.198092805905153568e+01,1.221714658833703337e+00,-5.843529060244210260e-01,-3.490164177604858364e-02
2.714999999999999858e+00,1.301090405624736235e+01,1.326742981165572655e+00,-5.218733257361750644e-01,-3.766720735545001780e-02
2.720000000000000195e+00,1.392880919457822664e+01,1.420343256318745695e+00,-4.545240426091065600e-01,-4.010820077631338521e-02
2.725000000000000089e+00,1.472602422092220564e+01,1.501636565078003915e+00,-3.828869590703569692e-01,-4.220172828051199643e-02
2.729999999999999982e+00,1.539497993123884889e+01,1.569851063435408589e+00,-3.075844486899559360e-01,-4.392790679991274289e-02
2.734999999999999876e+00,1.592922902772749971e+01,1.624329309981237257e+00,-2.292739262925417298e-01,-4.527005273736895569e-02
2.740000000000000213e+00,1.632350811868513318e+01,1.664534588130007098e+00,-1.486420834265047008e-01,-4.621484276166663852e-02
2.745000000000000107e+00,1.657378926594798685e+01,1.690056162496671899e+00,-6.639883996492365603e-02,-4.675244507014519879e-02
2.750000000000000000e+00,1.667732057751778640e+01,1.700613418192531423e+00,1.672893464373899353e-02,-4.687661983344815902e-02
2.754999999999999893e+00,1.663265544056324075e+01,1.696058841761788338e+00,1.000038746889398006e-01,-4.658478781011646946e-02
2.760000000000000231e+00,1.643967009158477310e+01,1.676379812839733585e+00,1.826846885193154080e-01,-4.587806640209578235e-02
2.765000000000000124e+00,1.609956932521615869e+01,1.641699186288504198e+00,2.640327870613159988e-01,-4.476127271314422895e-02
2.770000000000000018e+00,1.561488024996948276e+01,1.592274655460272692e+00,3.433189109992784149e-01,-4.324289346799277400e-02
2.774999999999999911e+00,1.498943410724391256e+01,1.528496898252095670e+00,4.198296968923103112e-01,-4.133502194826384202e-02
2.780000000000000249e+00,1.422833627813145618e+01,1.450886518651268053e+00,4.928741228557536602e-01,-3.905326239889352763e-02
2.785000000000000142e+00,1.333792470998149327e+01,1.360089807424706088e+00,5.617897753260345795e-01,-3.641660265343911462e-02
