time,input_base_ax,input_base_ax_g,input_base_vx,input_base_xdisp,top_vx,top_ax,top_ax_g,top_xdisp,stress_point_vx,stress_point_ax,stress_point_ax_g,stress_point_xdisp,stress_point_strain,stress_point_shear_stress,stress_element_material
8.31,-1.30689013743,-0.133265706172,-0.144762098647,0.00464779119868,0.122622371627,0.991614082133,0.101116495657,-0.00271982093003,0.0881154217562,0.758448401485,0.0773402131701,-0.00151939082056,-0.00016603934433,-24905.9016495,1
8.32,-0.758620617319,-0.077357774298,-0.155108439439,0.00314501182375,0.130211400608,0.531808400048,0.0542293647727,-0.00145105888857,0.0925050599046,0.438963814837,0.0447618518899,-0.000613122107096,-0.000115468369984,-17320.2554976,1
8.33,-0.190357526879,-0.0194110656421,-0.159859498992,0.00156662048728,0.133121580267,0.0589073439402,0.00600687736793,-0.00013016096916,0.0935844401241,0.107938021953,0.0110066150982,0.000320207708907,-6.14498138961e-05,-9217.47208442,1
8.34,0.377614949622,0.0385060086393,-0.158916700277,-3.08103370445e-05,0.131307840467,-0.410255995345,-0.0418344689925,0.00119571417806,0.091356241867,-0.22281982571,-0.022721298885,0.00124741134955,-5.93036276368e-06,-889.554414553,1
8.35,0.925272722588,0.0943515596649,-0.152383455825,-0.00159073397863,0.124892207037,-0.859187230539,-0.0876127148965,0.00247981226432,0.0859396898482,-0.541655201879,-0.05523345912,0.0021359257318,4.91142974285e-05,7367.14461428,1
8.36,1.43355512971,0.146181940796,-0.140559030972,-0.00305862317766,0.114157443699,-1.27230839984,-0.129739350323,0.00367742670852,0.0775649164178,-0.837477343038,-0.0853989224697,0.00295495199367,0.000101749531964,15262.4297946,1
8.37,1.88502559236,0.19221911584,-0.123925572244,-0.00438386788414,0.0995351017327,-1.63549624203,-0.166774203427,0.0047474495517,0.0665634817914,-1.10014346264,-0.112183412546,0.00367651928452,0.000150149497535,22522.4246303,1
8.38,2.26446679659,0.230911350624,-0.103128843037,-0.00552151146807,0.081588467939,-1.93656250901,-0.197474418788,0.00565377636501,0.0533554338977,-1.32080478938,-0.13468460579,0.00427643574008,0.0001926602093,28899.0313949,1
8.39,2.5593901935,0.260985167565,-0.0789534241996,-0.00643376607548,0.0609910754836,-2.1656600747,-0.220835868997,0.00636651738819,0.0384334070194,-1.49220268783,-0.152162327383,0.00473509449392,0.000227855766268,34178.3649403,1
8.4,2.76044288918,0.281486836909,-0.0522933232412,-0.00709125639203,0.038501590655,-2.31560141982,-0.236125631058,0.00686297456224,0.0223443567508,-1.60890502685,-0.164062654102,0.00503810808741,0.000254585834779,38187.8752168,1
8.41,2.86169882819,0.291812069177,-0.024119086259,-0.00747395128915,0.014936006467,-2.38207933149,-0.242904491492,0.00712835287897,0.00566960483514,-1.66747519157,-0.170035148758,0.00517675102336,0.000272012821893,40801.923284,1
8.42,2.86082542249,0.291723006581,0.00455738332913,-0.00757175434502,-0.00886184239338,-2.36378323533,-0.241038808903,0.00715618423498,-0.0109960812336,-1.66656860687,-0.169942702847,0.00514819722696,0.000279637553991,41945.6330987,1
8.43,2.75912128659,0.281352070951,0.03271902915,-0.00738473663177,-0.0320503820553,-2.26240834386,-0.230701446861,0.00694845239287,-0.0270656238576,-1.6069542624,-0.163863731489,0.00495554657678,0.000277312696317,41596.9044475,1
8.44,2.56142534544,0.261192695308,0.0593795788528,-0.00692300799212,-0.0538199495048,-2.08255862512,-0.212361879451,0.00651541834021,-0.0419802379348,-1.49146140772,-0.152086737848,0.00460764218235,0.000265243591553,39786.538733,1
8.45,2.27590212087,0.23207742918,0.0836179486714,-0.00620623583435,-0.0734209495108,-1.83154833159,-0.186765952858,0.0058751559181,-0.0552287801933,-1.32485422584,-0.135097533392,0.00411868744578,0.000243976643688,36596.4965531,1
8.46,1.91371231547,0.195144347506,0.104609920356,-0.00526283280293,-0.0901895433722,-1.51911035306,-0.154906145632,0.00505281769235,-0.0663651782023,-1.11363980091,-0.11355965604,0.00350767889653,0.000214375811607,32156.371741,1
8.47,1.48858175041,0.151793094523,0.121656006416,-0.00412884610304,-0.103569993636,-1.15702284411,-0.117983495293,0.00407966031171,-0.0750233480467,-0.865816984441,-0.0882887616506,0.00279767708869,0.000177588189685,26638.2284527,1
8.48,1.01628514062,0.103632243489,0.134204567667,-0.00284659137881,-0.113132917855,-0.758668320735,-0.0773626386926,0.00299186672128,-0.0809291056136,-0.590575756683,-0.0602219674081,0.0020149432863,0.000135000025779,20250.0038669,1
8.49,0.514063993089,0.0524199388261,0.141869426358,-0.00146308252652,-0.118588858121,-0.338541628292,-0.0345216387137,0.00182920930312,-0.083908688689,-0.297958307544,-0.0303832916995,0.00118797405204,8.81848479067e-05,13227.727186,1
8.5,2.67124866896e-14,2.72391557664e-15,0.144441421891,-2.83153853133e-05,-0.119796745857,0.0882752154949,0.00900156684443,0.000633603081262,-0.083893631424,0.00150572650479,0.000153541372925,0.000346469056839,3.88456286833e-05,5826.8443025,1
8.51,-0.507633396654,-0.0517642004817,0.141893576907,0.0014065323174,-0.116767026733,0.50665235355,0.0516641619259,-0.000552398604339,-0.0809218646647,0.297176675924,0.0303035874559,-0.000479730656481,-1.12468968993e-05,-1687.03453489,1
8.52,-0.991018104542,-0.101055722856,0.134379771232,0.00279092021252,-0.109659402013,0.901946385009,0.091972935203,-0.00168711217327,-0.0751350504032,0.578681426147,0.0590090832392,-0.00126169614401,-6.03175353437e-05,-9047.63030155,1
8.53,-1.43341431699,-0.146167581895,0.122227051645,0.00407671930324,-0.0987753331894,1.26051082742,0.128536332736,-0.00273118238609,-0.0667722913875,0.836275901574,0.0852764095357,-0.00197241871799,-0.000106649305648,-15997.3958472,1
8.54,-1.81973759672,-0.185561593074,0.105921928486,0.00521987872439,-0.0845456397711,1.57016502584,0.16011227339,-0.0036489405994,-0.0561604830821,1.06118083054,0.10821032978,-0.0025877378036,-0.000148643273411,-22296.4910117,1
8.55,-2.13707030938,-0.217920524275,0.0860912180513,0.00618192778653,-0.0675136891571,1.82060547743,0.185650092277,-0.00440961603725,-0.0437016903118,1.24587927703,0.12704432982,-0.00308715677846,-0.000184873471716,-27731.0207575,1
8.56,-2.37509017526,-0.2421917959,0.0634781751962,0.00693126237693,-0.0483148268808,2.00374577406,0.20432520525,-0.00498835919104,-0.0298580311266,1.38436591852,0.141166037181,-0.00345451942634,-0.000214135031889,-32120.2547834,1
8.57,-2.52640185053,-0.257621292748,0.0389148175572,0.00744417303867,-0.0276528200843,2.11397405807,0.215565362083,-0.0053670436011,-0.015134632348,1.47233987786,0.150136884447,-0.00367852489612,-0.000235483910448,-35322.5865672,1
8.58,-2.58676105045,-0.263776218224,0.0132914658904,0.0077055817009,-0.00627418282662,2.14831993783,0.219067667127,-0.00553482051513,-6.12822240171e-05,1.5073350124,0.153705395053,-0.00375306503094,-0.000248266915468,-37240.0373203,1
8.59,-2.55518465332,-0.260556321814,-0.0124753895548,0.0077094647301,0.0150586843013,2.10652610754,0.214805882492,-0.00548840995809,0.0148265562482,1.48878384722,0.151813702663,-0.00367737440109,-0.000252141094316,-37821.1641475,1
8.6,-2.43394433268,-0.248193249752,-0.0374757415759,0.00745895132244,0.0355945776305,1.99102333948,0.203027877969,-0.00523212125533,0.0290066935463,1.41801372981,0.144597159051,-0.00345599010191,-0.000247081932057,-37062.2898086,1
8.61,-2.22844540886,-0.227238191315,-0.0608380786378,0.0069660978531,0.0546198385327,1.80681094555,0.184243441497,-0.00477760568372,0.0419884554786,1.29817619323,0.132377131154,-0.00309852512614,-0.00023338021179,-35007.0317685,1
8.62,-1.94699664272,-0.19853840432,-0.081759635925,0.0062513502255,0.0714830457935,1.56124811556,0.159203001592,-0.00414335334374,0.053329584083,1.13411286044,0.115647327114,-0.00261926564762,-0.000211627790294,-31744.1685442,1
8.63,-1.60048047338,-0.163203588726,-0.099533839499,0.00534271712232,0.0856172018524,1.26376461859,0.128868127097,-0.00335395521775,0.0626512182819,0.932163419892,0.0950542152409,-0.00203660863528,-0.000182692930516,-27403.9395774,1
8.64,-1.20193659675,-0.122563423468,-0.113574010506,0.00427468697307,0.0965586616741,0.925502093471,0.0943749489858,-0.00243915940108,0.0696504500605,0.699923177855,0.0713723012298,-0.00137236164126,-0.000147686193,-22152.9289501,1
8.65,-0.766074679349,-0.0781178770884,-0.123432540182,0.00308693008264,0.103962177452,0.55889946353,0.0569918844386,-0.00143275738908,0.07411004384,0.445959377956,0.0454752008031,-0.000650931193611,-0.000107918209062,-16187.7313593,1
8.66,-0.308734304019,-0.031482137531,-0.128814916253,0.00182283442312,0.107611577331,0.177237812727,0.018073227119,-0.000371341847171,0.0759050120172,0.179496817718,0.0183035815205,0.000101570180256,-6.48509283576e-05,-9727.63925363,1
8.67,0.153688121335,0.0156718269067,-0.129588170897,0.000527928847213,0.107425756507,-0.205838702254,-0.0209897061947,0.000707018697743,0.0750058544449,-0.0899157572313,-0.0091688555451,0.000858265782209,-2.00441438211e-05,-3006.62157316,1
8.68,0.604824844178,0.061674969962,-0.125783522813,-0.000751749225855,0.103459828574,-0.576808692694,-0.0588181175726,0.00176414044898,0.0714783897717,-0.352746467321,-0.0359701291798,0.00159247159472,2.49007591762e-05,3735.11387644,1
8.69,1.02891381338,0.104920009726,-0.117593193719,-0.00197128336457,0.0959014577039,-0.92274889936,-0.0940942013185,0.00276307177864,0.0654802277209,-0.599816205081,-0.0611642309128,0.00227863422354,6.8397809189e-05,10259.6713784,1
8.7,1.41134702911,0.143917344772,-0.105361585532,-0.00308844746842,0.0850625620715,-1.2317824309,-0.125606851565,0.00366938015393,0.0572540492891,-0.822617843179,-0.0838836751774,0.00289321709706,0.000108932189241,16339.8283862,1
8.71,1.73917120528,0.177346107517,-0.0895712011438,-0.0040651603029,0.0713667398984,-1.49348440351,-0.152293026009,0.00445233392674,0.0471179723567,-1.01360769324,-0.10335921984,0.00341550432869,0.000145112760497,21766.9140745,1
8.72,2.00152367825,0.204098614537,-0.0708238723944,-0.00486877537354,0.0553329159635,-1.69923120633,-0.173273361069,0.00508593863711,0.0354533795193,-1.16645928374,-0.118945744341,0.0038282949411,0.000175719556289,26357.9334434,1
8.73,2.18998899873,0.223316728825,-0.0498180173204,-0.00547316273037,0.0375558335235,-1.84248178178,-0.1878808545,0.00554979312585,0.022690669708,-1.27627098113,-0.130143421161,0.00411846436459,0.000199744634309,29961.6951464,1
8.74,2.29886462962,0.234418953426,-0.0273227797351,-0.00585954718834,0.0186841199704,-1.91898185787,-0.195681691288,0.00582973754952,0.00929346255672,-1.33972071512,-0.136613493407,0.00427737509719,0.000216424929654,32463.7394481,1
8.75,2.32532752934,0.237117418215,-0.00415000336824,-0.00601707649698,-0.000603269075671,-1.92688490398,-0.196487577714,0.00591827308762,-0.00425816765734,-1.35516302141,-0.138188170416,0.00430112396405,0.000225266051088,33789.9076632,1
8.76,2.26949700419,0.231424289048,0.0188749429013,-0.00594310285853,-0.0196213755431,-1.86678660139,-0.190359256361,0.00581474144326,-0.0174848247768,-1.32266571195,-0.134874367082,0.00419061933781,0.000226056295998,33908.4443997,1
8.77,2.13439293471,0.217647508039,0.0409424445977,-0.00564317152061,-0.0377034665351,-1.74167271293,-0.177601190308,0.00552526086497,-0.029924681255,-1.24398564782,-0.126851233379,0.00395148776314,0.000218870514037,32830.5771055,1
8.78,1.9257921865,0.19637615154,0.0612869914932,-0.00513072058547,-0.0542243103047,-1.55678329541,-0.158747716642,0.00506242404886,-0.0411495337094,-1.12248524544,-0.11446164036,0.00359381545315,0.00020406381248,30609.571872,1
8.79,1.65198957455,0.168456055284,0.0792136092819,-0.00442650631527,-0.0686216915431,-1.31939911342,-0.134541266734,0.00444477161255,-0.0507794678906,-0.962993418119,-0.0981980001447,0.00313173588012,0.000182255455004,27338.3182507,1
8.8,1.32347303892,0.134956691522,0.0941214649586,-0.00355777771572,-0.0804154294036,-1.03855878526,-0.105903523146,0.00369606257587,-0.0584956335729,-0.771616568234,-0.0786829924831,0.0025828799678,0.000154303647244,23145.5470866,1
8.81,0.952525594361,0.0971305791847,0.105523849153,-0.00255723272364,-0.0892232592167,-0.7247175276,-0.0739006212723,0.00284437017069,-0.0640507029414,-0.555506936853,-0.0566459429931,0.00196771002827,0.000121272215325,18190.8322988,1
8.82,0.552769041464,0.0563667553613,0.11306387675,-0.00146179561567,-0.0947730576984,-0.389360288181,-0.0397036998548,0.00192103710276,-0.0672766732293,-0.322597028786,-0.0328957420512,0.00130876241596,8.43904568729e-05,12658.5685309,1
8.83,0.138666290397,0.0141400264511,0.116525406683,-0.000311261056309,-0.0969110271421,-0.0445835025818,-0.0045462520414,0.000959528910432,-0.0680897723994,-0.0813099170052,-0.00829130406461,0.000629826772003,4.50076686015e-05,6751.15029022,1
8.84,-0.274999606227,-0.0280421557032,0.115838856949,0.000853145673704,-0.0956056016107,0.297339363891,0.0303201770116,-5.7728346035e-06,-0.0664923319591,0.159744044022,0.0162893591616,-4.4908388812e-05,4.54402327311e-06,681.603490967,1
8.85,-0.673651025103,-0.0686932872187,0.111081775179,0.00199024040571,-0.0909469921474,0.624392949839,0.063670361422,-0.000940794151813,-0.0625715997417,0.392073221745,0.0399803420888,-0.000691713190234,-3.55604237949e-05,-5334.06356924,1
8.86,-1.04342733973,-0.106399977538,0.102474212054,0.00306033144384,-0.0831424429796,0.925240443031,0.0943482680662,-0.00181296573075,-0.0564955737922,0.607602594947,0.0619582217115,-0.0012881467303,-7.38967752806e-05,-11084.5162921,1
8.87,-1.37166460845,-0.139870864,0.0903691276111,0.0040265996251,-0.0725074211212,1.18961468902,0.121306938559,-0.00259235158663,-0.0485060425547,0.798953123753,0.08147054537,-0.00181383131231,-0.00010913657782,-16370.4866729,1
8.88,-1.6473268634,-0.167980591068,0.0752382328836,0.00485635931667,-0.0594531024231,1.40866653851,0.1436440108,-0.00325267036639,-0.0389091127347,0.959692981995,0.0978614493221,-0.00225114399306,-0.000140077636802,-21011.6455203,1
8.89,-1.86137440196,-0.18980736561,0.0576538252174,0.00552215740429,-0.0444706431481,1.57525869075,0.160631682659,-0.00377217466611,-0.0280635912316,1.08455215032,0.11059354115,-0.00258580212839,-0.000165684788008,-24852.7182012,1
