time_s,acc_base_m_s2,acc_middle_m_s2,acc_surface_m_s2,strain_base,stress_base_pa,strain_middle,stress_middle_pa
1.808,-5.91738157474,-7.9442584475,2.01001139862,-0.00102450922789,-199265.640553,-0.000298781837998,-81669.5335628
1.81,-5.81014038156,-8.08719859225,1.77737103465,-0.00103218703133,-200087.399273,-0.000304157785854,-82848.5844818
1.812,-5.69813298448,-8.23017537705,1.54283389555,-0.00103952533003,-200799.973089,-0.000309535111735,-84041.8462367
1.814,-5.58148398097,-8.37342267669,1.30654754244,-0.00104648660094,-201397.056175,-0.00031492261162,-85250.518402
1.816,-5.4603355976,-8.51716085817,1.06866003315,-0.00105303336289,-201872.623972,-0.000320328573465,-86475.5995943
1.818,-5.33484746062,-8.6615952783,0.829319349228,-0.00105912837168,-202220.966845,-0.000325760720695,-87717.8791352
1.82,-5.20519628799,-8.80691485578,0.588672838097,-0.00106473481565,-202436.722507,-0.0003312261585,-88977.9297594
1.822,-5.07157550351,-8.95329072524,0.346866673075,-0.00106981651073,-202514.907044,-0.000336731323218,-90256.1014069
1.824,-4.93419477432,-9.10087497983,0.10404533386,-0.0010743380941,-202450.944399,-0.000342281935039,-91552.5161322
1.826,-4.7932794735,-9.24979950887,-0.134470016785,-0.00107826521544,-202240.694152,-0.000347882954291,-92867.0641601
1.828,-4.64907006943,-9.40017493649,-0.36983291404,-0.00108156472501,-201880.477482,-0.000353538541525,-94199.4011083
1.83,-4.50182144437,-9.55208966677,-0.60577041387,-0.00108420485744,-201367.101166,-0.000359252021598,-95548.9463973
1.832,-4.35180214476,-9.70560904037,-0.842154443244,-0.00108615541055,-200697.879501,-0.000365025851957,-96914.8828569
1.834,-4.19929356617,-9.86077460698,-1.07886068476,-0.0010873879182,-199870.654039,-0.00037086159528,-98296.1575366
1.836,-4.04458907607,-10.0176035178,-1.3157689123,-0.00108787581635,-198883.811027,-0.000376759896617,-99691.4837202
1.838,-3.88799307795,-10.1760880412,-1.55276329292,-0.00108759460161,-197736.296475,-0.000382720465183,-101099.344139
1.84,-3.72982002061,-10.3361952041,-1.7897326538,-0.00108652198135,-196427.628762,-0.000388742060871,-102517.995372
1.842,-3.57039335654,-10.4978665621,-2.0265707129,-0.00108463801476,-194957.90871,-0.000394822485598,-103945.473421
1.844,-3.41004445378,-10.6610180989,-2.26317627252,-0.00108192524409,-193327.827081,-0.000400958579528,-105379.600428
1.846,-3.24911146571,-10.8255402567,-2.49945337497,-0.00107836881544,-191538.669439,-0.000407146222217,-106817.992522
1.848,-3.08793816345,-10.9912980975,-2.73531141978,-0.00107395658848,-189592.318348,-0.000413380338677,-108274.403932
1.85,-2.9268727358,-11.1586950245,-2.97066524209,-0.00106867923453,-187491.252895,-0.000419676100809,-109746.356014
1.852,-2.76626656176,-11.3273953489,-3.20543515213,-0.00106253032253,-185238.545511,-0.000426020883438,-111201.637589
1.854,-2.60647296075,-11.4967873654,-3.43954693575,-0.00105550639239,-182837.85611,-0.000432391680457,-112638.130411
1.856,-2.44784592589,-11.6666370964,-3.67293181641,-0.00104760701539,-180293.423552,-0.000438779692021,-114064.190991
1.858,-2.29073884573,-11.8366879179,-3.90552637889,-0.00103883484122,-177610.054465,-0.000445175266552,-115476.407321
1.86,-2.1355032198,-12.0066614874,-4.13727245565,-0.00102919563143,-174793.109461,-0.00045156793565,-116871.244679
1.862,-1.98248737359,-12.1762587884,-4.36811697644,-0.00101869827913,-171848.486806,-0.000457946453376,-118245.060907
1.864,-1.83203517837,-12.3451612875,-4.59801178242,-0.00100735481461,-168782.603598,-0.00046429883975,-119594.122337
1.866,-1.68448478141,-12.5130321971,-4.82691340595,-0.000995180397011,-165602.37454,-0.000470612428269,-120914.620294
1.868,-1.54016735201,-12.679517841,-5.05478281746,-0.000982193291882,-162315.188383,-0.000476873917243,-122202.688117
1.87,-1.3994058489,-12.8442491141,-5.28158514104,-0.000968414834691,-158928.882155,-0.000483069424715,-123454.418594
1.872,-1.2625138141,-13.0068430323,-5.50728934051,-0.000953869380435,-155451.713262,-0.000489184546728,-124665.88176
1.874,-1.12979419874,-13.1669043633,-5.73186787793,-0.000938584239479,-151892.329593,-0.000495204418687,-125833.142952
1.876,-1.00153822566,-13.324027333,-5.9552963465,-0.000922589599875,-148259.737759,-0.000501113779516,-126952.28106
1.878,-0.878024294009,-13.4777973987,-6.17755308026,-0.00090591843645,-144563.26959,-0.000506897038353,-128019.406865
1.88,-0.759516930379,-13.6277930814,-6.39861874271,-0.000888606407032,-140812.547043,-0.000512538343461,-129030.681409
1.882,-0.64626579118,-13.7735878485,-6.61847589699,-0.000870691736207,-137017.445674,-0.000518021653046,-129982.334286
1.884,-0.538504720578,-13.9147520395,-6.83710856009,-0.00085221508711,-133188.056826,-0.000523330807667,-130870.681782
1.886,-0.4364508681,-14.0508548245,-7.05450174366,-0.000833219421755,-129334.648703,-0.000528449603906,-131692.144783
1.888,-0.340303869792,-14.1814661874,-7.27064098437,-0.000813749850505,-125467.626498,-0.000533361868947,-132443.266357
1.89,-0.250245096498,-14.3061589242,-7.48551186638,-0.000793853471301,-121597.491753,-0.00053805153575,-133120.728932
1.892,-0.166436972574,-14.4245106485,-7.69909953886,-0.000773579199347,-117734.801123,-0.000542502718442,-133721.370995
1.894,-0.089022368034,-14.5361057922,-7.91138823142,-0.000752977587962,-113890.12473,-0.000546699787604,-134242.203227
1.896,-0.0181240667949,-14.6405375955,-8.12236077042,-0.000732100641381,-110074.004295,-0.000550627445088,-134680.423999
1.898,0.0457609693914,-14.7374100746,-8.33199809893,-0.000711001620301,-106296.911224,-0.000554270798025,-135033.434158
1.9,0.102848427363,-14.8263399586,-8.54095938642,-0.000689734841016,-102569.204834,-0.000557615431683,-135298.851029
1.902,0.153233686604,-14.906958587,-8.74903800425,-0.000668355469017,-98901.0909158,-0.000560647480822,-135474.521575
1.904,0.196878359191,-14.9789137586,-8.95571977147,-0.000646919307944,-95302.5808044,-0.000563353699225,-135558.534632
1.906,0.233765406293,-15.0418715224,-9.16097137892,-0.000625482584827,-91783.4511444,-0.000565721527075,-135549.232187
1.908,0.263899175897,-15.095517904,-9.36475537888,-0.000604101732532,-88353.2045291,-0.000567739155857,-135445.219623
1.91,0.287305356154,-15.1395605568,-9.56702979559,-0.000582833170392,-85021.0311888,-0.00056939559048,-135245.374888
1.912,0.304030844511,-15.1737303322,-9.7677477588,-0.00056173308397,-81795.7718978,-0.000570680708326,-134948.856541
1.914,0.314143533185,-15.1977827606,-9.96685716283,-0.000540857204915,-78685.8822666,-0.000571585314943,-134555.11064
1.916,0.317732011881,-15.2114994355,-10.1643003532,-0.000520260591911,-75699.3985789,-0.000572101196112,-134063.876428
1.918,0.314905189017,-15.2146892951,-10.3600138435,-0.000499997413651,-72843.9053254,-0.000572221166039,-133475.190794
1.92,0.305791833092,-15.2071897943,-10.5539280636,-0.000480120734818,-70126.50458,-0.000571939111441,-132789.391477
1.922,0.290540036167,-15.188867962,-10.7459671425,-0.000460682306012,-67553.7873559,-0.000571250031301,-132007.119006
1.924,0.269316601769,-15.1596213379,-10.9360487261,-0.000441732358551,-65131.8070693,-0.000570150072109,-131129.317346
1.926,0.242306359871,-15.1193787842,-11.1240838325,-0.000423319405066,-62866.0552303,-0.000568636558389,-130157.233262
1.928,0.209711411892,-15.0681011688,-11.3099767457,-0.00040549004676,-60761.4394702,-0.000566708018387,-129092.414383
1.93,0.171750309007,-15.0057819148,-11.4936249489,-0.000388288788204,-58822.2640031,-0.000564364204757,-127936.70598
1.932,0.128657167289,-14.9324474158,-11.6749190987,-0.000371757860479,-57052.2126111,-0.000561606110146,-126692.246458
