time,base_acceleration,integrated_base_velocity
1.980999999999999872e+01,1.166877753394960138e+00,3.201114590232774781e-01
1.982000000000000028e+01,1.133752440891147018e+00,3.319557193109616833e-01
1.983000000000000185e+01,1.099770358879037957e+00,3.434644426260663463e-01
1.983999999999999986e+01,1.064965867573839375e+00,3.546292330745805521e-01
1.985000000000000142e+01,1.029373902531608209e+00,3.654420412413613151e-01
1.985999999999999943e+01,9.930299367511778996e-01,3.758951697540249826e-01
1.987000000000000099e+01,9.559699425520449267e-01,3.859812784667946972e-01
1.987999999999999901e+01,9.182303532714595207e-01,3.956933892621622428e-01
1.989000000000000057e+01,8.798480248226958622e-01,4.050248904688862894e-01
1.990000000000000213e+01,8.408601971569620304e-01,4.139695408950379019e-01
1.991000000000000014e+01,8.013044556701434118e-01,4.225214734754236812e-01
1.992000000000000171e+01,7.612186925955342076e-01,4.306751985330052879e-01
1.992999999999999972e+01,7.206410684231574493e-01,4.384256066543489871e-01
1.994000000000000128e+01,6.796099733852756231e-01,4.457679711796443400e-01
1.994999999999999929e+01,6.381639890477170951e-01,4.526979503080598710e-01
1.996000000000000085e+01,5.963418500452082327e-01,4.592115888197773055e-01
1.996999999999999886e+01,5.541824059990911877e-01,4.653053194162496409e-01
1.998000000000000043e+01,5.117245836541481907e-01,4.709759636807685501e-01
1.999000000000000199e+01,4.690073492714041947e-01,4.762207326616490488e-01
2.000000000000000000e+01,4.260696713122307244e-01,4.810372270808180861e-01
2.001000000000000156e+01,3.829504834487416076e-01,4.854234371708756601e-01
2.001999999999999957e+01,3.396886479346274967e-01,4.893777421440436148e-01
2.003000000000000114e+01,2.963229193692651364e-01,4.928989092968154573e-01
2.003999999999999915e+01,2.528919088878112120e-01,4.959860927543522369e-01
2.005000000000000071e+01,2.094340488082089280e-01,4.986388318590845858e-01
2.005999999999999872e+01,1.659875577660869794e-01,5.008570492082076164e-01
2.007000000000000028e+01,1.225904063665552712e-01,5.026410483451229094e-01
2.008000000000000185e+01,7.928028338202430803e-02,5.039915111101179734e-01
2.008999999999999986e+01,3.609456252326381787e-02,5.049094946558960739e-01
2.010000000000000142e+01,-6.929730189503047200e-03,5.053964281338169107e-01
2.010999999999999943e+01,-4.975594842958308561e-02,5.054541090569735218e-01
2.012000000000000099e+01,-9.234785691668001562e-02,5.050846993464939150e-01
2.012999999999999901e+01,-1.346696620954084267e-01,5.042907210676855767e-01
2.014000000000000057e+01,-1.766860421173390705e-01,5.030750518628734902e-01
2.015000000000000213e+01,-2.183621761044509668e-01,5.014409200880163286e-01
2.016000000000000014e+01,-2.596637726737593965e-01,4.993918996603774474e-01
2.017000000000000171e+01,-3.005570977033418245e-01,4.969319046247435145e-01
2.017999999999999972e+01,-3.410090013211082294e-01,4.940651834458739122e-01
2.019000000000000128e+01,-3.809869440990816258e-01,4.907963130350242453e-01
2.019999999999999929e+01,-4.204590224362778628e-01,4.871301925186000137e-01
2.021000000000000085e+01,-4.593939931151300726e-01,4.830720367570942031e-01
2.021999999999999886e+01,-4.977612970165505857e-01,4.786273696226887586e-01
2.023000000000000043e+01,-5.355310819806540223e-01,4.738020170439538048e-01
2.024000000000000199e+01,-5.726742248002469893e-01,4.686020998263004111e-01
2.025000000000000000e+01,-6.091623523360638615e-01,4.630340262568719001e-01
2.026000000000000156e+01,-6.449678617431349181e-01,4.571044845027268932e-01
2.026999999999999957e+01,-6.800639397987930934e-01,4.508204348112703208e-01
2.028000000000000114e+01,-7.144245813241703047e-01,4.441891015219063821e-01
2.028999999999999915e+01,-7.480246066913620595e-01,4.372179648980821232e-01
2.030000000000000071e+01,-7.808396784101461208e-01,4.299147527888252385e-01
2.030999999999999872e+01,-8.128463167883523965e-01,4.222874321290862043e-01
2.032000000000000028e+01,-8.440219146616616541e-01,4.143442002880868280e-01
2.033000000000000185e+01,-8.743447511888362556e-01,4.060934762750849636e-01
2.033999999999999986e+01,-9.037940047099262131e-01,3.975438918118446852e-01
2.035000000000000142e+01,-9.323497646654992366e-01,3.887042822812181164e-01
2.035999999999999943e+01,-9.599930425758804731e-01,3.795836775612650982e-01
2.037000000000000099e+01,-9.867057820805742452e-01,3.701912927542331810e-01
2.037999999999999901e+01,-1.012470868038390037e+00,3.605365188198921267e-01
2.039000000000000057e+01,-1.037272134690224945e+00,3.506289131224995526e-01
2.040000000000000213e+01,-1.061094372886688397e+00,3.404781899008653134e-01
2.041000000000000014e+01,-1.083923336384120084e+00,3.300942106707651647e-01
2.042000000000000171e+01,-1.105745747212987240e+00,3.194869745690299134e-01
2.042999999999999972e+01,-1.126549300123477870e+00,3.086666086486016813e-01
2.044000000000000128e+01,-1.146322666114104827e+00,2.976433581336639933e-01
2.044999999999999929e+01,-1.165055495049533540e+00,2.864275766440998461e-01
2.046000000000000085e+01,-1.182738417374901374e+00,2.750297163982279303e-01
2.046999999999999886e+01,-1.199363044934312228e+00,2.634603184029361000e-01
2.048000000000000043e+01,-1.214921970902187454e+00,2.517300026400035584e-01
2.049000000000000199e+01,-1.229408768836482757e+00,2.398494582575602663e-01
2.050000000000000000e+01,-1.242817990863799515e+00,2.278294337753131726e-01
2.051000000000000156e+01,-1.255145165006752883e+00,2.156807273122104407e-01
2.051999999999999957e+01,-1.266386791664710465e+00,2.034141768451073751e-01
2.053000000000000114e+01,-1.276540339259665480e+00,1.910406505067355765e-01
2.053999999999999915e+01,-1.285604239059422227e+00,1.785710369313944224e-01
2.055000000000000071e+01,-1.293577879191022184e+00,1.660162356563921193e-01
2.055999999999999872e+01,-1.300461597857701435e+00,1.533871475874030166e-01
2.057000000000000028e+01,-1.306256675773343368e+00,1.406946655354975872e-01
2.058000000000000185e+01,-1.310965327828760962e+00,1.279496648337370424e-01
2.058999999999999986e+01,-1.314590694004733606e+00,1.151629940408239738e-01
2.060000000000000142e+01,-1.317136829547129295e+00,1.023454657393146894e-01
2.060999999999999943e+01,-1.318608694419857841e+00,8.950784743573414470e-02
2.062000000000000099e+01,-1.319012142051935399e+00,7.666085256962507088e-02
2.062999999999999901e+01,-1.318353907395218627e+00,6.381513163864394045e-02
2.064000000000000057e+01,-1.316641594309825969e+00,5.098126344636855212e-02
2.065000000000000213e+01,-1.313883662294640153e+00,3.816974647959614497e-02
2.066000000000000014e+01,-1.310089412580587975e+00,2.539099042147441310e-02
2.067000000000000171e+01,-1.305268973604757576e+00,1.265530780679768874e-02
2.067999999999999972e+01,-1.299433285883734079e+00,-2.709417439039629727e-05
2.069000000000000128e+01,-1.292594086304767131e+00,-1.264612171908297000e-02
2.069999999999999929e+01,-1.284763891853800466e+00,-2.519180229362127932e-02
2.071000000000000085e+01,-1.275955982799424682e+00,-3.765429235063755264e-02
2.071999999999999886e+01,-1.266184385352329578e+00,-5.002388487514208837e-02
2.073000000000000043e+01,-1.255463853819788866e+00,-6.229101675475268163e-02
2.074000000000000199e+01,-1.243809852275153283e+00,-7.444627596897723798e-02
2.075000000000000000e+01,-1.231238535762321895e+00,-8.648040859291039606e-02
2.076000000000000156e+01,-1.217766731055412777e+00,-9.838432561074905713e-02
2.076999999999999957e+01,-1.203411916994124198e+00,-1.101491095347424398e-01
2.078000000000000114e+01,-1.188192204415108755e+00,-1.217660208255384457e-01
2.078999999999999915e+01,-1.172126315700197097e+00,-1.332265041098609215e-01
2.080000000000000071e+01,-1.155233563962022814e+00,-1.445221941919219155e-01
2.080999999999999872e+01,-1.137533831888052127e+00,-1.556449218549180724e-01
2.082000000000000028e+01,-1.119047550263725377e+00,-1.665867194494268233e-01
2.083000000000000185e+01,-1.099795676195864047e+00,-1.773398262654745094e-01
2.083999999999999986e+01,-1.079799671057157795e+00,-1.878966936854855607e-01
2.085000000000000142e+01,-1.059081478172825719e+00,-1.982499901153851329e-01
2.085999999999999943e+01,-1.037663500270553207e+00,-2.083926056913482094e-01
2.087000000000000099e+01,-1.015568576714509952e+00,-2.183176567600231266e-01
2.087999999999999901e+01,-9.928199605447343146e-01,-2.280184901300654765e-01
2.089000000000000057e+01,-9.694412953425342039e-01,-2.374886870932513272e-01
2.090000000000000213e+01,-9.454565919431177079e-01,-2.467220672134291526e-01
2.091000000000000014e+01,-9.208902050160574504e-01,-2.557126918819713213e-01
2.092000000000000171e+01,-8.957668095344573089e-01,-2.644548676384733676e-01
2.092999999999999972e+01,-8.701113771535826658e-01,-2.729431492556601002e-01
2.094000000000000128e+01,-8.439491525192863719e-01,-2.811723425877737936e-01
2.094999999999999929e+01,-8.173056295269613969e-01,-2.891375071817514630e-01
2.096000000000000085e+01,-7.902065275510610221e-01,-2.968339586508907946e-01
2.096999999999999886e+01,-7.626777676656022464e-01,-3.042572708107207369e-01
2.098000000000000043e+01,-7.347454488754099344e-01,-3.114032775771747863e-01
2.099000000000000199e+01,-7.064358243781772018e-01,-3.182680746271918659e-01
2.100000000000000000e+01,-6.777752778767833775e-01,-3.248480208222136456e-01
