time,input_base_ax,input_base_vx,base_vx,base_ax,base_xdisp,middle_vx,middle_ax,middle_xdisp,surface_vx,surface_ax,surface_xdisp,base_strain,base_shear_stress,middle_strain,middle_shear_stress
5.98,0.858224801313,-0.318309028271,-0.310215637264,0.673186218413,-0.0269937714515,-0.322299380269,0.922332826663,-0.0272223988981,-0.321910809944,0.755901686562,-0.0273228716168,-3.76388097621e-05,-18819.3984002,-7.1618279377e-06,-4239.90702225
6,0.963046775132,-0.299390662868,-0.296492593524,0.686152186992,-0.0331695314073,-0.301025384242,1.06369980138,-0.0334267288955,-0.304213548135,0.884863090484,-0.0335367176452,-4.05281374204e-05,-20264.0654514,-5.55999372698e-06,-3747.60753675
6.02,1.05396317853,-0.278526906385,-0.281578753454,0.745692003497,-0.0389452383396,-0.277803961225,1.1610711508,-0.0392287778973,-0.283945869759,1.01338391878,-0.0393443842894,-4.23353303059e-05,-21167.6622036,-7.32184154284e-06,-4685.29030247
6.04,1.14009124608,-0.255903392079,-0.264173687031,0.870253321162,-0.0442851823515,-0.253380318098,1.22118215639,-0.044594291611,-0.261093821211,1.14260242738,-0.0447133483894,-4.37679100752e-05,-21883.9464017,-1.2642035076e-05,-7140.32512442
6.06,1.22916333401,-0.231536426784,-0.242973478494,1.06001042682,-0.0491555901931,-0.228178463963,1.26009270674,-0.0494907443808,-0.235719375132,1.26872230398,-0.0496129987337,-4.55795277075e-05,-22789.7492271,-2.0779682267e-05,-10796.149851
6.08,1.32693269685,-0.205306810908,-0.217054939709,1.29592693928,-0.0535212822038,-0.202280062265,1.2949200849,-0.0538836847485,-0.20791118994,1.39040925955,-0.0540108424283,-4.835219141e-05,-24176.0831193,-3.02676037508e-05,-15024.3641057
6.1,1.43673670286,-0.177004000152,-0.186104736342,1.54751016833,-0.0573432789353,-0.175372394355,1.34538339549,-0.0577343541473,-0.177855429528,1.50278802061,-0.0578694808324,-5.24132656067e-05,-26206.6316626,-3.92740706197e-05,-19037.1927099
6.12,1.55923764277,-0.14637724562,-0.150521494557,1.77916208923,-0.0605774312522,-0.146885693841,1.42433502568,-0.0609985431898,-0.145726761039,1.60643342443,-0.0611453503897,-5.77745000358e-05,-28887.2616898,-4.6084846661e-05,-22098.6267257
6.14,1.69235066593,-0.113190051669,-0.111288748856,1.96163728504,-0.0631742546805,-0.116059992522,1.54128506595,-0.0636267214308,-0.111700366966,1.70131970367,-0.0637888687308,-6.41755315668e-05,-32087.7820479,-4.95727824421e-05,-23726.9362197
6.16,1.83135767183,-0.0772742074416,-0.0697419908294,2.07733790134,-0.065079913443,-0.0821580767415,1.69509578901,-0.0655650486543,-0.0757973367301,1.79515151179,-0.0657452899641,-7.11562625548e-05,-35578.1422014,-4.94495392684e-05,-23803.8475066
6.18,1.96919575954,-0.0385797746935,-0.027227923577,2.12570336262,-0.0662382108656,-0.0445897094481,1.87841836467,-0.06675684868,-0.0379363321465,1.89305022917,-0.0669565034355,-7.80838280944e-05,-39041.9169739,-4.63455609643e-05,-22606.7449496
6.2,2.09689960678,0.00278226371406,0.0151900529995,2.12089882882,-0.0665935920787,-0.00313218576411,2.0728761842,-0.0671452215513,0.00208196749272,2.00091498196,-0.0673633506805,-8.42664560078e-05,-42133.2279564,-4.1553205791e-05,-20692.9716833
6.22,2.2041693535,0.0465074976837,0.0569478071157,2.08788770581,-0.066094801653,0.0419793394783,2.25557626211,-0.0666764087248,0.0443807788432,2.11494056752,-0.066909847857,-8.89961366558e-05,-44498.0702183,-3.67248141849e-05,-18768.6169863
6.24,2.28002954689,0.0920778980888,0.0980189505991,2.05355717416,-0.0646991904659,0.0899737776238,2.39972190727,-0.0653045988342,0.0889285079941,2.22738645754,-0.0655478646932,-9.17477776023e-05,-45873.890441,-3.33746513494e-05,-17472.1143807
6.26,2.31354070157,0.138755379762,0.138793793627,2.0387421514,-0.0623770366782,0.139633094355,2.48296583657,-0.062996544012,0.135375713122,2.3223602564,-0.0632428714257,-9.21731241755e-05,-46086.5563913,-3.25543720623e-05,-17239.225769
6.28,2.29452316461,0.185589769443,0.179809395209,2.05078007906,-0.0591159298734,0.189418435596,2.48926706202,-0.059736463467,0.183027099654,2.38256932661,-0.0599782265905,-9.02000963038e-05,-45100.0319371,-3.44686603952e-05,-18134.82959
6.3,2.21425325478,0.23144102282,0.221399149239,2.07948770154,-0.0549245400678,0.237648878986,2.4115221695,-0.0555296822125,0.23078186166,2.38773810028,-0.0557594652263,-8.58441215455e-05,-42922.0404067,-3.84345352362e-05,-19839.741801
6.32,2.06609396895,0.275014754955,0.263361917619,2.09813841899,-0.0498360137196,0.282654017088,2.25025690512,-0.050406439096,0.277154322178,2.3186230259,-0.0506170280155,-7.92217520365e-05,-39610.8629238,-4.29238409417e-05,-21666.4258324
6.34,1.84602671362,0.314909433766,0.304726475654,2.06822790171,-0.0439103609556,0.322884463463,2.01152231872,-0.0444245273158,0.320335154062,2.15904159422,-0.0446095369696,-7.03761719701e-05,-35188.0866017,-4.5999344476e-05,-22756.1522504
6.36,1.55305624253,0.349672970886,0.343704192562,1.94888584543,-0.0372361239029,0.357009283886,1.70624102117,-0.0376718152409,0.358321753204,1.89932995706,-0.0378254203928,-5.93873511473e-05,-29693.686094,-4.573632635e-05,-22262.0240495
6.38,1.1894679131,0.377865955869,0.377822132056,1.70589697469,-0.0299306553023,0.383930231458,1.34604737858,-0.0302666488573,0.389149696836,1.5413971816,-0.0303839688373,-4.62707553712e-05,-23135.3890829,-4.07799402068e-05,-19599.784674
6.4,0.760924124074,0.398128438704,0.404258138598,1.32180032708,-0.0221393325803,0.402799642154,0.943470534793,-0.0223570553246,0.411058598573,1.09544508688,-0.0224336683177,-3.1082679209e-05,-15541.3469965,-3.06339100041e-05,-14568.2378863
6.42,0.276394949209,0.409246984145,0.420259530358,0.800069588014,-0.0140332505909,0.412917124559,0.505874120252,-0.0141176899457,0.422691091767,0.581624659681,-0.0141496176739,-1.38350376107e-05,-6917.52500699,-1.58362535349e-05,-7427.43174688
6.44,-0.252073874552,0.410218703327,0.423599416073,0.166994285736,-0.00580582779446,0.413680543095,0.0381709267961,-0.00574610164972,0.423098167341,0.0203537786926,-0.00572932980412,5.37043387538e-06,2685.20724399,2.18237269928e-06,1171.45023208
6.46,-0.809744704095,0.400309109488,0.412925958896,-0.533672858818,0.00233193300331,0.404477380681,-0.460158120693,0.00254227918173,0.411819590829,-0.563928825602,0.00261154252147,2.6312041393e-05,13156.0089994,2.13556032201e-05,10295.6615682
6.48,-1.37970560532,0.379100933626,0.387983087245,-1.24714358256,0.0101571593324,0.384745393338,-0.986599367158,0.0105197514023,0.388781838828,-1.15188760004,0.010644705545,4.85010090371e-05,24250.4991012,3.94219679968e-05,18929.2391338
6.5,-1.94349800687,0.346531454463,0.349599763079,-1.91916620829,0.017441863902,0.354008002683,-1.53686953274,0.0179532915597,0.354346380627,-1.72177291005,0.0181357600385,7.11824498659e-05,35591.2328507,5.44016801733e-05,26179.4982206
6.52,-2.48182592813,0.302916421664,0.299505872852,-2.50469451135,0.0239603892473,0.312057014491,-2.09754940958,0.0246123874893,0.309161195839,-2.2592592394,0.0248521089286,9.33860029269e-05,46693.0204154,6.50246837136e-05,31470.2309639
6.54,-2.97531512185,0.248959254371,0.239979185546,-2.97633436528,0.0294972560235,0.259037774553,-2.65096199689,0.030277239152,0.254163077841,-2.74990589989,0.0305714634139,0.000114037423926,57018.7312204,7.10011047226e-05,34659.7448486
6.56,-3.40528880953,0.18574484887,0.173458848153,-3.32601686967,0.0338550725121,0.195614493354,-3.17116405994,0.0347467455385,0.190412502287,-3.18752877768,0.0350898448744,0.000132096969851,66048.4944987,7.29914145302e-05,36029.8540587
6.58000000001,-3.75452656856,0.114717998748,0.102172918068,-3.56429650425,0.03686203806,0.123003851407,-3.63053209737,0.0378455676024,0.11915077423,-3.56308640286,0.0382291801683,0.000146593117611,73296.5575006,7.23762920329e-05,36180.2674103
6.60000000001,-4.00797429031,0.0376470878975,0.0279152270823,-3.71288454926,0.0383789482794,0.0430514193257,-3.99762160405,0.0394309430101,0.0417667863605,-3.86919939344,0.0398438842738,0.000156753364052,78376.6760266,7.0774612416e-05,35813.1318651
6.62000000001,-4.15337584272,-0.0434256672167,-0.0480172970066,-3.79662620443,0.038305158709,-0.0418461516976,-4.24487855116,0.039398577048,-0.0400625462368,-4.09146662985,0.0398276626945,0.000162000264163,81000.126556,6.96266633362e-05,35548.6432572
6.64000000001,-4.18180095732,-0.126245599812,-0.124691490844,-3.83370969189,0.0365835817454,-0.1288422573,-4.34980528009,0.0376883053759,-0.124373031739,-4.21552427509,0.0381189210583,0.000162112387382,81056.1868992,6.9751901729e-05,35730.3056698
6.66000000001,-4.0880486968,-0.208416311061,-0.201288610344,-3.82985597497,0.0332040767677,-0.214882960644,-4.30203516723,0.0342877822534,-0.208873228119,-4.22500981899,0.0347053907806,0.000157136736876,78568.3552012,7.11846881473e-05,36356.740955
6.68000000001,-3.87091139291,-0.287477077654,-0.2767829975,-3.77471935779,0.0282054955838,-0.296932594456,-4.10248169058,0.0292349343877,-0.291033590275,-4.10801810781,0.0296256956952,0.000147434607192,73717.2836814,7.30701494969e-05,37034.4274349
6.70000000001,-3.53328990649,-0.360984058958,-0.349667076574,-3.64420395367,0.0216758405469,-0.372199242523,-3.76333240332,0.022617811176,-0.368162420504,-3.85644151144,0.0229696489433,0.000133440404396,66720.1839641,7.39171403616e-05,37094.5327903
6.72000000001,-3.08215718138,-0.426592292277,-0.417792727444,-3.40628254352,0.0137510692752,-0.438274438253,-3.30375978649,0.014573600961,-0.437514313816,-3.46759466559,0.0148760573595,0.000115670655951,57835.3221753,7.19003599139e-05,35723.5285667
6.74000000001,-2.52837307998,-0.482135464632,-0.478397987847,-3.03026302012,0.00461212220049,-0.493198811601,-2.74621866741,0.00528565887733,-0.496444590068,-2.94651381259,0.00553032492489,9.45629770823e-05,47281.4986515,6.54230306207e-05,32219.9588963
6.76000000001,-1.88635915816,-0.52570056647,-0.528325555918,-2.49637840354,-0.00551927597286,-0.53548446627,-2.11428273343,-0.00502018059665,-0.542560428951,-2.30579194413,-0.00484010873533,7.06017082807e-05,35300.8731317,5.35225324748e-05,26171.8435984
6.78000000001,-1.17364715036,-0.555694757832,-0.564397366869,-1.80359054754,-0.0163864309455,-0.564063764558,-1.42896491442,-0.0160816730516,-0.573951052453,-1.56953117511,-0.0159711609638,4.42370057007e-05,22118.5199896,3.62545566113e-05,17633.9495779
6.80000000001,-0.410319314467,-0.570902097727,-0.583872464313,-0.973754872208,-0.027704528368,-0.578247121917,-0.70916786793,-0.0276073609237,-0.589277281984,-0.766311476574,-0.0275700784787,1.59897249446e-05,7994.8726719,1.46865015012e-05,7116.20878143
6.82000000001,0.381637701997,-0.570528186704,-0.584865301154,-0.0496418420678,-0.0391686779507,-0.577594869002,0.0326126457466,-0.0392855285782,-0.587892246465,0.0692517759733,-0.0393238522922,-1.36200455869e-05,-6810.01670639,-9.25142314384e-06,-4481.30687574
6.84000000001,1.1790412604,-0.554231232637,-0.566657199828,0.910405066287,-0.0504625516472,-0.5618759902,0.785943940076,-0.0507932073606,-0.569738443184,0.907690164072,-0.0509085528176,-4.39682863144e-05,-21984.1370348,-3.31988207125e-05,-16071.1519905
6.86000000001,1.95825763235,-0.522138550733,-0.529799705865,1.84287469815,-0.0612676009025,-0.531001056458,1.54374668712,-0.0618055899818,-0.535346308615,1.71960672842,-0.0619980266646,-7.43111093655e-05,-37155.5503037,-5.47929447869e-05,-26566.5610017
6.88000000001,2.69595710362,-0.474848030664,-0.476026210491,2.68867476869,-0.0712724136981,-0.485130352547,2.29353519554,-0.0720052412635,-0.485667329115,2.48394897498,-0.0722730442503,-0.000103708109802,-51854.0591573,-7.21578094451e-05,-35105.6723486
6.90000000001,3.36985341546,-0.413414626547,-0.407944296536,3.40409569776,-0.0801820778324,-0.424737876106,3.01962382204,-0.0810916040334,-0.422082796754,3.17922661803,-0.0814306056013,-0.000131069132446,-65534.5828924,-8.42500542972e-05,-41202.3757099
6.92000000001,3.95940301608,-0.339322430508,-0.328641267924,3.96515143061,-0.0877272177273,-0.350794234926,3.69718205898,-0.0887903765896,-0.346237984597,3.79224060786,-0.0891935323524,-0.000155272968836,-77636.5076471,-9.10450262304e-05,-44834.0449729
6.94000000001,4.44644173762,-0.25444336059,-0.241228416989,4.37064254673,-0.0936723112739,-0.264800573738,4.29968305941,-0.0948620603822,-0.260035917944,4.31010333264,-0.0953195132498,-0.000175280142169,-87640.0884942,-9.34799393185e-05,-46414.0425282
6.96000000001,4.81573933639,-0.160983914042,-0.148493201433,4.63676077777,-0.0978230840861,-0.168871247507,4.79646631155,-0.0991093396806,-0.165496345491,4.72697862266,-0.0996085243606,-0.000190271824818,-95135.9150207,-9.31223867277e-05,-46642.6737721
6.98000000001,5.05545570078,-0.0614217951505,-0.0526701042451,4.7911548594,-0.100032549411,-0.0656484742532,5.16113866266,-0.101382641801,-0.0648116189426,5.0342363274,-0.101908959847,-0.000199638312017,-99819.1451802,-9.17172340524e-05,-46299.5209825
7.00000000001,5.15748629111,0.0415654864907,0.0445491485617,4.86096264033,-0.100205795067,0.0417386641573,5.36935692052,-0.101584812702,0.0396809127109,5.22462658266,-0.10212198397,-0.000203068526481,-101534.247423,-9.06393060469e-05,-45994.3236959
7.02000000001,5.11768837917,0.145177742482,0.141861540699,4.86561960685,-0.0983030945008,0.149874982514,5.40681591781,-0.0996742357041,0.145405203908,5.28621455983,-0.100205477114,-0.000200485356898,-100242.664104,-9.05723846688e-05,-46023.6571298
7.04000000001,4.93598375283,0.246572524424,0.238044551218,4.80915052593,-0.094341615446,0.255240646266,5.26828318762,-0.0956672201265,0.249588289647,5.20915428697,-0.0961759447354,-0.000192150277221,-96075.1250356,-9.12843166715e-05,-46269.0097809
7.06000000001,4.61633760151,0.342946356508,0.331647491723,4.68014702525,-0.0883952524456,0.354489463899,4.96244088162,-0.0896380102278,0.349302719665,4.9857215009,-0.0901092476668,-0.000178525617593,-89262.7924988,-9.17647268151e-05,-46265.0432333
7.08000000001,4.16661717269,0.431614336708,0.420719806422,4.45361573493,-0.0805930084165,0.444644091151,4.50773136258,-0.0817173911457,0.441600316656,4.61487984951,-0.082138102505,-0.000160278010865,-80138.9880277,-9.04102286386e-05,-45281.7072373
7.10000000001,3.5983373742,0.510085769499,0.502710421798,4.0995307688,-0.0711155875635,0.523246574854,3.93012418518,-0.0720887966174,0.523634214404,4.10169488738,-0.0724485308144,-0.000138043790094,-69021.8852684,-8.55129498415e-05,-42550.4651068
7.12000000001,2.92630369552,0.57613366902,0.574542985285,3.59162817436,-0.0601908217695,0.588391170513,3.25722978294,-0.0609838127048,0.59277137296,3.45685792782,-0.0612741469321,-0.000112455752738,-56227.8827078,-7.56440339091e-05,-37433.2221709
7.14000000001,2.16816555712,0.627856207041,0.632885174635,2.91710946748,-0.0480876606647,0.638677313753,2.51430716197,-0.0486760453714,0.646741966811,2.69852969252,-0.048890686878,-8.40353573068e-05,-42017.7004553,-6.01730173961e-05,-29664.2649409
7.16000000001,1.34389541343,0.663728465127,0.674557242591,2.08360339778,-0.0351092926541,0.67314681738,1.72347518135,-0.0354745893991,0.683743866402,1.85009497955,-0.035608745801,-5.33393488355e-05,-26669.7009192,-3.94544551418e-05,-19430.4483591
7.18000000001,0.475210595612,0.682643174209,0.696982730739,1.12127440743,-0.0215851559727,0.691171630369,0.901240649458,-0.0217156304379,0.702602728876,0.942943123715,-0.0217661603052,-2.09167221902e-05,-10458.3800595,-1.49128588331e-05,-7413.76255833
7.20000000001,-0.415044032974,0.683939476099,0.698596302375,0.0806785818075,-0.00786239086116,0.692401891499,0.0615130564893,-0.00775346656029,0.702778235499,0.00877533115109,-0.00771840262618,1.25917262369e-05,6295.85608463,1.13023863759e-05,5374.48883703
7.22000000001,-1.30353402168,0.66741910877,0.67907309506,-0.976160365781,0.00570332332274,0.676656089754,-0.787290087236,0.00604948376101,0.684393731224,-0.91922521375,0.00617079014366,4.65169732846e-05,23258.4873153,3.67099903613e-05,17772.0583017
7.24000000001,-2.1670753333,0.633349789235,0.639381986681,-1.98455541895,0.0187570000394,0.643949647338,-1.63532212083,0.0193321109854,0.648073281332,-1.81602249461,0.0195390822452,8.00825536885e-05,40041.2800337,5.90595956467e-05,28729.9222336
